n,win_rate,avg_net_pct,total_pct,max_dd_pct,sharpe,tp_rate,sl_rate,timeout_rate,rally_lb,rally_thr,rsi_thr,tp_pct,sl_pct,hold_bars,symbol
49,65.31,-0.1626,-8.145,-13.087,-2.141,65.3,20.4,14.3,4,1.0,60,1.0,2.5,24,BTCUSDT
56,57.14,-0.1467,-8.291,-14.051,-2.275,44.6,1.8,53.6,4,1.0,60,1.0,4.0,6,BTCUSDT
51,62.75,-0.1974,-10.134,-13.922,-2.466,58.8,7.8,33.3,4,1.0,60,1.0,4.0,12,BTCUSDT
44,68.18,-0.0976,-4.716,-9.124,-1.21,63.6,9.1,27.3,4,1.0,60,1.0,4.0,24,BTCUSDT
59,45.76,-0.1626,-9.479,-16.019,-2.818,23.7,25.4,50.8,4,1.0,60,1.5,1.5,6,BTCUSDT
56,44.64,-0.2441,-13.198,-18.754,-3.617,28.6,39.3,32.1,4,1.0,60,1.5,1.5,12,BTCUSDT
54,46.3,-0.2282,-12.121,-19.576,-2.964,46.3,50.0,3.7,4,1.0,60,1.5,1.5,24,BTCUSDT
55,50.91,-0.1151,-6.554,-13.042,-1.736,27.3,10.9,61.8,4,1.0,60,1.5,2.5,6,BTCUSDT
51,50.98,-0.234,-11.799,-17.303,-2.918,35.3,15.7,49.0,4,1.0,60,1.5,2.5,12,BTCUSDT
43,51.16,-0.2989,-12.669,-19.284,-3.234,48.8,27.9,23.3,4,1.0,60,1.5,2.5,24,BTCUSDT
54,50.0,-0.1227,-6.864,-13.33,-1.763,27.8,1.9,70.4,4,1.0,60,1.5,4.0,6,BTCUSDT
48,52.08,-0.217,-10.535,-15.682,-2.432,39.6,8.3,52.1,4,1.0,60,1.5,4.0,12,BTCUSDT
37,54.05,-0.2081,-7.98,-13.897,-2.21,43.2,10.8,45.9,4,1.0,60,1.5,4.0,24,BTCUSDT
59,45.76,-0.1577,-9.238,-16.554,-2.645,10.2,25.4,64.4,4,1.0,60,2.0,1.5,6,BTCUSDT
55,43.64,-0.1952,-10.65,-16.734,-2.729,18.2,38.2,43.6,4,1.0,60,2.0,1.5,12,BTCUSDT
52,44.23,-0.0733,-4.428,-13.501,-0.842,40.4,48.1,11.5,4,1.0,60,2.0,1.5,24,BTCUSDT
55,50.91,-0.1202,-6.833,-13.659,-1.778,10.9,10.9,78.2,4,1.0,60,2.0,2.5,6,BTCUSDT
50,48.0,-0.2478,-12.292,-18.32,-2.819,26.0,18.0,56.0,4,1.0,60,2.0,2.5,12,BTCUSDT
42,47.62,-0.1738,-7.792,-15.157,-1.702,42.9,28.6,28.6,4,1.0,60,2.0,2.5,24,BTCUSDT
54,50.0,-0.1279,-7.142,-13.945,-1.805,11.1,1.9,87.0,4,1.0,60,2.0,4.0,6,BTCUSDT
46,45.65,-0.3074,-13.871,-19.124,-3.234,26.1,8.7,65.2,4,1.0,60,2.0,4.0,12,BTCUSDT
36,50.0,-0.1292,-5.203,-12.216,-1.269,36.1,11.1,52.8,4,1.0,60,2.0,4.0,24,BTCUSDT
59,44.07,-0.1653,-9.674,-17.563,-2.671,3.4,25.4,71.2,4,1.0,60,3.0,1.5,6,BTCUSDT
55,43.64,-0.1378,-7.868,-15.088,-1.762,9.1,38.2,52.7,4,1.0,60,3.0,1.5,12,BTCUSDT
50,42.0,-0.0041,-1.048,-10.854,-0.042,18.0,48.0,34.0,4,1.0,60,3.0,1.5,24,BTCUSDT
55,49.09,-0.1284,-7.281,-14.933,-1.84,3.6,10.9,85.5,4,1.0,60,3.0,2.5,6,BTCUSDT
50,48.0,-0.1729,-9.044,-16.463,-1.82,12.0,18.0,70.0,4,1.0,60,3.0,2.5,12,BTCUSDT
40,42.5,-0.1427,-6.43,-15.462,-1.263,17.5,30.0,52.5,4,1.0,60,3.0,2.5,24,BTCUSDT
54,48.15,-0.1362,-7.587,-15.214,-1.868,3.7,1.9,94.4,4,1.0,60,3.0,4.0,6,BTCUSDT
46,45.65,-0.2187,-10.383,-17.322,-2.128,13.0,8.7,78.3,4,1.0,60,3.0,4.0,12,BTCUSDT
35,45.71,-0.0058,-1.058,-11.783,-0.05,25.7,11.4,62.9,4,1.0,60,3.0,4.0,24,BTCUSDT
48,56.25,-0.0806,-4.009,-7.972,-1.609,39.6,20.8,39.6,4,1.0,65,1.0,1.5,6,BTCUSDT
48,54.17,-0.1427,-6.907,-10.481,-2.441,52.1,31.2,16.7,4,1.0,65,1.0,1.5,12,BTCUSDT
47,59.57,-0.152,-7.209,-11.891,-2.45,57.4,36.2,6.4,4,1.0,65,1.0,1.5,24,BTCUSDT
43,62.79,0.0989,4.164,-3.435,2.123,46.5,2.3,51.2,4,1.0,65,1.0,2.5,6,BTCUSDT
40,65.0,0.01,0.103,-3.69,0.158,62.5,7.5,30.0,4,1.0,65,1.0,2.5,12,BTCUSDT
36,72.22,-0.0068,-0.584,-6.268,-0.095,69.4,16.7,13.9,4,1.0,65,1.0,2.5,24,BTCUSDT
43,62.79,0.064,2.559,-4.923,1.202,46.5,2.3,51.2,4,1.0,65,1.0,4.0,6,BTCUSDT
38,63.16,-0.1014,-4.154,-6.775,-1.371,60.5,5.3,34.2,4,1.0,65,1.0,4.0,12,BTCUSDT
33,72.73,0.0171,0.21,-6.635,0.225,69.7,6.1,24.2,4,1.0,65,1.0,4.0,24,BTCUSDT
47,44.68,-0.1153,-5.536,-11.588,-2.047,25.5,21.3,53.2,4,1.0,65,1.5,1.5,6,BTCUSDT
44,45.45,-0.1211,-5.536,-11.573,-1.806,31.8,34.1,34.1,4,1.0,65,1.5,1.5,12,BTCUSDT
42,52.38,-0.0784,-3.669,-11.781,-1.034,50.0,42.9,7.1,4,1.0,65,1.5,1.5,24,BTCUSDT
42,52.38,0.0846,3.369,-5.13,1.523,31.0,2.4,66.7,4,1.0,65,1.5,2.5,6,BTCUSDT
39,56.41,0.0324,0.86,-5.966,0.429,41.0,10.3,48.7,4,1.0,65,1.5,2.5,12,BTCUSDT
33,66.67,0.069,1.835,-7.007,0.794,57.6,21.2,21.2,4,1.0,65,1.5,2.5,24,BTCUSDT
42,52.38,0.0489,1.776,-5.13,0.796,31.0,2.4,66.7,4,1.0,65,1.5,4.0,6,BTCUSDT
36,55.56,-0.0854,-3.512,-9.309,-0.986,44.4,5.6,50.0,4,1.0,65,1.5,4.0,12,BTCUSDT
30,66.67,0.0413,0.722,-8.091,0.427,56.7,10.0,33.3,4,1.0,65,1.5,4.0,24,BTCUSDT
47,44.68,-0.1234,-5.909,-12.3,-2.14,10.6,21.3,68.1,4,1.0,65,2.0,1.5,6,BTCUSDT
43,41.86,-0.1726,-7.506,-13.504,-2.504,14.0,34.9,51.2,4,1.0,65,2.0,1.5,12,BTCUSDT
41,48.78,0.0417,1.151,-9.611,0.48,43.9,43.9,12.2,4,1.0,65,2.0,1.5,24,BTCUSDT
42,52.38,0.0381,1.376,-5.407,0.692,9.5,2.4,88.1,4,1.0,65,2.0,2.5,6,BTCUSDT
38,50.0,-0.082,-3.53,-9.939,-0.994,23.7,13.2,63.2,4,1.0,65,2.0,2.5,12,BTCUSDT
32,62.5,0.1533,4.452,-7.238,1.588,46.9,21.9,31.2,4,1.0,65,2.0,2.5,24,BTCUSDT
42,52.38,0.0262,0.805,-5.94,0.421,11.9,2.4,85.7,4,1.0,65,2.0,4.0,6,BTCUSDT
34,47.06,-0.2597,-8.944,-14.993,-2.829,23.5,5.9,70.6,4,1.0,65,2.0,4.0,12,BTCUSDT
29,62.07,0.1223,2.989,-6.906,1.155,44.8,10.3,44.8,4,1.0,65,2.0,4.0,24,BTCUSDT
47,42.55,-0.1762,-8.204,-14.232,-3.12,2.1,21.3,76.6,4,1.0,65,3.0,1.5,6,BTCUSDT
43,41.86,-0.1329,-5.96,-12.655,-1.803,7.0,34.9,58.1,4,1.0,65,3.0,1.5,12,BTCUSDT
40,45.0,0.1199,4.185,-9.611,1.225,20.0,45.0,35.0,4,1.0,65,3.0,1.5,24,BTCUSDT
42,50.0,-0.0006,-0.259,-6.706,-0.01,2.4,2.4,95.2,4,1.0,65,3.0,2.5,6,BTCUSDT
38,50.0,-0.0217,-1.357,-8.306,-0.246,10.5,13.2,76.3,4,1.0,65,3.0,2.5,12,BTCUSDT
31,58.06,0.2702,7.997,-6.994,2.478,22.6,22.6,54.8,4,1.0,65,3.0,2.5,24,BTCUSDT
42,50.0,-0.0328,-1.655,-8.012,-0.535,2.4,2.4,95.2,4,1.0,65,3.0,4.0,6,BTCUSDT
34,47.06,-0.1823,-6.582,-12.464,-1.851,11.8,5.9,82.4,4,1.0,65,3.0,4.0,12,BTCUSDT
29,58.62,0.3074,8.502,-5.395,2.601,27.6,10.3,62.1,4,1.0,65,3.0,4.0,24,BTCUSDT
31,54.84,-0.1093,-3.489,-7.626,-2.049,41.9,25.8,32.3,4,1.0,70,1.0,1.5,6,BTCUSDT
30,56.67,-0.113,-3.529,-8.952,-1.878,56.7,33.3,10.0,4,1.0,70,1.0,1.5,12,BTCUSDT
29,58.62,-0.2045,-5.972,-11.258,-3.173,58.6,41.4,0.0,4,1.0,70,1.0,1.5,24,BTCUSDT
28,64.29,0.1346,3.701,-2.67,2.662,53.6,3.6,42.9,4,1.0,70,1.0,2.5,6,BTCUSDT
24,66.67,0.0158,0.176,-4.671,0.233,66.7,12.5,20.8,4,1.0,70,1.0,2.5,12,BTCUSDT
23,73.91,0.0235,0.301,-5.697,0.313,73.9,21.7,4.3,4,1.0,70,1.0,2.5,24,BTCUSDT
27,62.96,0.0811,2.057,-3.618,1.462,51.9,0.0,48.1,4,1.0,70,1.0,4.0,6,BTCUSDT
21,61.9,-0.2242,-4.873,-9.476,-2.634,61.9,9.5,28.6,4,1.0,70,1.0,4.0,12,BTCUSDT
20,70.0,-0.1076,-2.407,-9.391,-1.232,70.0,10.0,20.0,4,1.0,70,1.0,4.0,24,BTCUSDT
29,41.38,-0.1162,-3.489,-9.979,-1.99,27.6,24.1,48.3,4,1.0,70,1.5,1.5,6,BTCUSDT
28,50.0,-0.013,-0.614,-8.478,-0.185,39.3,35.7,25.0,4,1.0,70,1.5,1.5,12,BTCUSDT
27,51.85,-0.1526,-4.321,-11.878,-1.977,48.1,48.1,3.7,4,1.0,70,1.5,1.5,24,BTCUSDT
