symbol,variant,lookback,thr,hold,n_trades,win_rate,avg_net_pct,total_ret_pct,hodl_pct,max_dd_pct,sharpe,avg_size
BTCUSDT,vol_norm,20,2.0,12,77,49.35,-0.7633,-49.557,19.34,-61.071,-4.223,2.921
BTCUSDT,vol_norm,50,2.5,24,29,37.93,-1.2028,-32.613,19.34,-34.102,-4.226,2.722
BTCUSDT,vol_norm,20,2.5,12,51,45.1,-0.8105,-38.058,19.34,-48.349,-4.402,2.848
BTCUSDT,vol_norm,50,2.5,12,33,42.42,-0.6695,-21.995,19.34,-28.376,-4.479,2.639
ETHUSDT,classical,100,2.5,24,24,79.17,1.1658,30.971,12.735,-8.112,8.275,1.0
ETHUSDT,classical,100,2.0,24,29,68.97,0.9111,28.857,12.735,-8.112,6.708,1.0
ETHUSDT,classical,100,2.0,12,44,59.09,0.5192,24.188,12.735,-8.114,6.107,1.0
ETHUSDT,classical,100,2.5,12,29,58.62,0.3199,9.058,12.735,-9.827,4.203,1.0
ETHUSDT,classical,100,1.5,24,42,61.9,0.3803,15.393,12.735,-11.168,2.606,1.0
ETHUSDT,classical,50,2.5,12,37,48.65,0.0791,1.973,12.735,-10.401,0.921,1.0
ETHUSDT,classical,50,1.5,24,54,55.56,0.11,3.454,12.735,-19.068,0.684,1.0
ETHUSDT,classical,100,1.5,12,67,55.22,0.0479,1.924,12.735,-15.372,0.655,1.0
ETHUSDT,classical,50,2.0,12,55,50.91,0.0055,-1.231,12.735,-21.072,0.063,1.0
ETHUSDT,classical,20,1.5,24,71,53.52,-0.0569,-7.041,12.735,-19.449,-0.358,1.0
ETHUSDT,classical,50,2.5,24,31,58.06,-0.0692,-3.584,12.735,-22.68,-0.424,1.0
ETHUSDT,classical,50,2.0,24,39,61.54,-0.1166,-6.126,12.735,-25.532,-0.74,1.0
ETHUSDT,classical,50,1.5,12,88,48.86,-0.0778,-8.559,12.735,-26.7,-0.961,1.0
ETHUSDT,classical,20,2.5,24,47,51.06,-0.2059,-11.531,12.735,-25.208,-1.186,1.0
ETHUSDT,classical,20,2.0,24,61,44.26,-0.345,-21.61,12.735,-30.638,-2.009,1.0
ETHUSDT,classical,20,1.5,12,109,44.95,-0.24,-25.385,12.735,-33.823,-2.724,1.0
ETHUSDT,classical,20,2.5,12,54,42.59,-0.3221,-17.251,12.735,-23.007,-3.656,1.0
ETHUSDT,classical,20,2.0,12,81,41.98,-0.6227,-41.069,12.735,-44.393,-7.13,1.0
ETHUSDT,kronos_gated,100,2.0,12,35,60.0,0.6163,22.948,12.735,-8.112,7.418,1.0
ETHUSDT,kronos_gated,100,2.5,24,20,80.0,1.0735,22.857,12.735,-8.112,7.234,1.0
ETHUSDT,kronos_gated,100,2.0,24,24,70.83,0.9418,24.217,12.735,-8.112,6.808,1.0
