label,n,win_rate,avg_net_pct,total_ret_pct,hodl_pct,max_dd_pct,sharpe,symbol,lookback,thr,hold,variant
,289,45.33,-1.7815,-99.838,1772.153,-99.892,-4.119,BTCUSDT,200,3.0,24,vol_norm
,236,43.64,-0.9683,-92.436,1772.153,-94.839,-3.814,BTCUSDT,200,3.0,48,classical
,236,43.64,-2.436,-99.932,1772.153,-99.953,-4.627,BTCUSDT,200,3.0,48,vol_norm
,2079,47.14,-0.4352,-99.997,681.756,-99.999,-2.33,ETHUSDT,50,2.0,12,classical
,2079,47.14,-0.75,-100.0,681.756,-100.0,-2.824,ETHUSDT,50,2.0,12,vol_norm
,1489,50.57,-0.5354,-99.994,681.756,-99.997,-2.116,ETHUSDT,50,2.0,24,classical
,1489,50.57,-0.9956,-100.0,681.756,-100.0,-2.663,ETHUSDT,50,2.0,24,vol_norm
,1088,47.89,-0.6463,-99.992,681.756,-99.996,-1.908,ETHUSDT,50,2.0,48,classical
,1088,47.89,-1.1766,-100.0,681.756,-100.0,-2.205,ETHUSDT,50,2.0,48,vol_norm
,1247,43.3,-0.6026,-99.975,681.756,-99.979,-3.389,ETHUSDT,50,2.5,12,classical
,1247,43.3,-0.9958,-100.0,681.756,-100.0,-3.708,ETHUSDT,50,2.5,12,vol_norm
,1047,48.33,-0.6591,-99.973,681.756,-99.981,-2.569,ETHUSDT,50,2.5,24,classical
,1047,48.33,-1.2311,-100.0,681.756,-100.0,-3.264,ETHUSDT,50,2.5,24,vol_norm
,877,46.75,-0.6359,-99.944,681.756,-99.954,-1.891,ETHUSDT,50,2.5,48,classical
,877,46.75,-1.2892,-100.0,681.756,-100.0,-2.35,ETHUSDT,50,2.5,48,vol_norm
,720,40.97,-0.7789,-99.77,681.756,-99.774,-4.289,ETHUSDT,50,3.0,12,classical
,720,40.97,-1.1534,-99.992,681.756,-99.992,-4.179,ETHUSDT,50,3.0,12,vol_norm
,666,47.45,-0.734,-99.702,681.756,-99.807,-2.73,ETHUSDT,50,3.0,24,classical
,666,47.45,-1.1288,-99.993,681.756,-99.997,-2.815,ETHUSDT,50,3.0,24,vol_norm
,610,46.07,-0.9426,-99.917,681.756,-99.93,-2.818,ETHUSDT,50,3.0,48,classical
,610,46.07,-1.4453,-100.0,681.756,-100.0,-2.725,ETHUSDT,50,3.0,48,vol_norm
,1705,46.16,-0.5437,-99.997,608.908,-99.998,-2.891,ETHUSDT,100,2.0,12,classical
,1705,46.16,-0.9242,-100.0,608.908,-100.0,-3.749,ETHUSDT,100,2.0,12,vol_norm
,1116,48.3,-0.6605,-99.986,608.908,-99.99,-2.531,ETHUSDT,100,2.0,24,classical
,1116,48.3,-1.2295,-100.0,608.908,-100.0,-3.452,ETHUSDT,100,2.0,24,vol_norm
,805,47.83,-0.8379,-99.981,608.908,-99.989,-2.45,ETHUSDT,100,2.0,48,classical
,805,47.83,-1.6385,-100.0,608.908,-100.0,-3.391,ETHUSDT,100,2.0,48,vol_norm
,976,44.16,-0.5747,-99.837,608.908,-99.903,-2.709,ETHUSDT,100,2.5,12,classical
,976,44.16,-1.1172,-99.999,608.908,-100.0,-4.454,ETHUSDT,100,2.5,12,vol_norm
,710,47.75,-0.6847,-99.719,608.908,-99.852,-2.492,ETHUSDT,100,2.5,24,classical
,710,47.75,-1.3491,-99.999,608.908,-100.0,-3.719,ETHUSDT,100,2.5,24,vol_norm
,590,47.8,-0.9769,-99.925,608.908,-99.97,-2.788,ETHUSDT,100,2.5,48,classical
,590,47.8,-1.8353,-100.0,608.908,-100.0,-3.846,ETHUSDT,100,2.5,48,vol_norm
,555,41.8,-0.8077,-99.255,608.908,-99.35,-4.122,ETHUSDT,100,3.0,12,classical
,555,41.8,-1.3558,-99.975,608.908,-99.979,-5.212,ETHUSDT,100,3.0,12,vol_norm
,459,45.97,-0.6728,-97.685,608.908,-98.569,-2.402,ETHUSDT,100,3.0,24,classical
,459,45.97,-1.5119,-99.975,608.908,-99.982,-4.001,ETHUSDT,100,3.0,24,vol_norm
,410,45.85,-1.0198,-99.42,608.908,-99.541,-2.946,ETHUSDT,100,3.0,48,classical
,410,45.85,-1.9811,-99.997,608.908,-99.998,-3.883,ETHUSDT,100,3.0,48,vol_norm
,1447,45.13,-0.5568,-99.989,583.226,-99.993,-2.789,ETHUSDT,200,2.0,12,classical
,1447,45.13,-0.9245,-100.0,583.226,-100.0,-3.814,ETHUSDT,200,2.0,12,vol_norm
,891,47.14,-0.7163,-99.959,583.226,-99.973,-2.492,ETHUSDT,200,2.0,24,classical
,891,47.14,-1.3232,-100.0,583.226,-100.0,-3.799,ETHUSDT,200,2.0,24,vol_norm
,587,43.27,-1.2579,-99.987,583.226,-99.992,-3.45,ETHUSDT,200,2.0,48,classical
,587,43.27,-2.0994,-100.0,583.226,-100.0,-4.37,ETHUSDT,200,2.0,48,vol_norm
,799,45.93,-0.5349,-99.264,583.226,-99.503,-2.586,ETHUSDT,200,2.5,12,classical
,799,45.93,-0.996,-99.987,583.226,-99.99,-3.938,ETHUSDT,200,2.5,12,vol_norm
,513,46.0,-0.7851,-99.171,583.226,-99.415,-2.816,ETHUSDT,200,2.5,24,classical
,513,46.0,-1.4187,-99.983,583.226,-99.989,-3.878,ETHUSDT,200,2.5,24,vol_norm
,380,44.47,-1.2291,-99.618,583.226,-99.747,-3.593,ETHUSDT,200,2.5,48,classical
,380,44.47,-2.2143,-99.997,583.226,-99.998,-4.678,ETHUSDT,200,2.5,48,vol_norm
,410,43.66,-0.4898,-90.828,583.226,-95.002,-2.153,ETHUSDT,200,3.0,12,classical
,410,43.66,-1.2125,-99.611,583.226,-99.71,-4.607,ETHUSDT,200,3.0,12,vol_norm
,287,47.04,-0.7432,-92.053,583.226,-94.766,-2.734,ETHUSDT,200,3.0,24,classical
,287,47.04,-1.7756,-99.744,583.226,-99.81,-4.697,ETHUSDT,200,3.0,24,vol_norm
,236,39.83,-1.9082,-99.385,583.226,-99.543,-5.537,ETHUSDT,200,3.0,48,classical
,236,39.83,-3.3358,-99.99,583.226,-99.992,-6.84,ETHUSDT,200,3.0,48,vol_norm
,1759,48.1,-0.2362,-99.717,2120.073,-99.818,-1.043,LINKUSDT,50,2.0,12,classical
,1759,48.1,-0.3581,-99.97,2120.073,-99.982,-1.543,LINKUSDT,50,2.0,12,vol_norm
,1275,50.12,-0.0986,-98.26,2120.073,-99.2,-0.31,LINKUSDT,50,2.0,24,classical
,1275,50.12,-0.2665,-99.743,2120.073,-99.907,-0.823,LINKUSDT,50,2.0,24,vol_norm
,931,49.95,-0.1852,-99.077,2120.073,-99.583,-0.453,LINKUSDT,50,2.0,48,classical
,931,49.95,-0.3562,-99.937,2120.073,-99.98,-0.772,LINKUSDT,50,2.0,48,vol_norm
,981,46.99,-0.3637,-98.895,2120.073,-99.032,-1.623,LINKUSDT,50,2.5,12,classical
,981,46.99,-0.5067,-99.764,2120.073,-99.817,-2.125,LINKUSDT,50,2.5,12,vol_norm
,834,50.12,-0.1479,-94.595,2120.073,-96.994,-0.465,LINKUSDT,50,2.5,24,classical
,834,50.12,-0.2515,-97.88,2120.073,-99.048,-0.754,LINKUSDT,50,2.5,24,vol_norm
,702,48.86,-0.446,-99.426,2120.073,-99.503,-1.142,LINKUSDT,50,2.5,48,classical
,702,48.86,-0.7261,-99.975,2120.073,-99.98,-1.567,LINKUSDT,50,2.5,48,vol_norm
,522,45.59,-0.6894,-98.379,2120.073,-98.691,-3.05,LINKUSDT,50,3.0,12,classical
,522,45.59,-0.7991,-99.147,2120.073,-99.295,-3.354,LINKUSDT,50,3.0,12,vol_norm
,490,48.16,-0.3462,-94.457,2120.073,-96.814,-1.004,LINKUSDT,50,3.0,24,classical
,490,48.16,-0.4636,-96.272,2120.073,-98.156,-1.403,LINKUSDT,50,3.0,24,vol_norm
,453,48.57,-0.7782,-99.366,2120.073,-99.556,-1.901,LINKUSDT,50,3.0,48,classical
,453,48.57,-1.0704,-99.892,2120.073,-99.93,-2.322,LINKUSDT,50,3.0,48,vol_norm
,1476,48.44,-0.2454,-99.386,2112.939,-99.51,-1.067,LINKUSDT,100,2.0,12,classical
,1476,48.44,-0.3686,-99.894,2112.939,-99.907,-1.648,LINKUSDT,100,2.0,12,vol_norm
,979,49.74,-0.243,-98.662,2112.939,-98.911,-0.769,LINKUSDT,100,2.0,24,classical
,979,49.74,-0.4533,-99.806,2112.939,-99.849,-1.471,LINKUSDT,100,2.0,24,vol_norm
,701,48.64,-0.5231,-99.753,2112.939,-99.828,-1.27,LINKUSDT,100,2.0,48,classical
,701,48.64,-0.8338,-99.975,2112.939,-99.983,-1.98,LINKUSDT,100,2.0,48,vol_norm
,800,48.62,-0.3488,-97.616,2112.939,-98.679,-1.403,LINKUSDT,100,2.5,12,classical
,800,48.62,-0.5479,-99.458,2112.939,-99.631,-2.365,LINKUSDT,100,2.5,12,vol_norm
,593,50.08,-0.1798,-91.502,2112.939,-94.278,-0.523,LINKUSDT,100,2.5,24,classical
,593,50.08,-0.4043,-97.273,2112.939,-98.39,-1.247,LINKUSDT,100,2.5,24,vol_norm
,495,49.7,-0.5702,-98.839,2112.939,-99.305,-1.376,LINKUSDT,100,2.5,48,classical
,495,49.7,-0.9437,-99.844,2112.939,-99.912,-2.217,LINKUSDT,100,2.5,48,vol_norm
,372,44.62,-0.7002,-96.384,2112.939,-96.916,-2.184,LINKUSDT,100,3.0,12,classical
,372,44.62,-0.8352,-97.206,2112.939,-97.555,-3.324,LINKUSDT,100,3.0,12,vol_norm
,322,51.86,-0.2863,-87.467,2112.939,-92.438,-0.7,LINKUSDT,100,3.0,24,classical
,322,51.86,-0.4914,-91.081,2112.939,-93.786,-1.376,LINKUSDT,100,3.0,24,vol_norm
,299,46.49,-0.9183,-97.973,2112.939,-98.798,-2.104,LINKUSDT,100,3.0,48,classical
,299,46.49,-1.2876,-99.621,2112.939,-99.735,-2.612,LINKUSDT,100,3.0,48,vol_norm
,1257,48.21,-0.313,-99.531,2003.87,-99.672,-1.289,LINKUSDT,200,2.0,12,classical
,1257,48.21,-0.4812,-99.934,2003.87,-99.954,-2.113,LINKUSDT,200,2.0,12,vol_norm
,793,49.56,-0.401,-99.533,2003.87,-99.691,-1.159,LINKUSDT,200,2.0,24,classical
,793,49.56,-0.6295,-99.863,2003.87,-99.913,-1.964,LINKUSDT,200,2.0,24,vol_norm
,531,48.02,-0.6528,-99.612,2003.87,-99.731,-1.45,LINKUSDT,200,2.0,48,classical
,531,48.02,-1.0736,-99.952,2003.87,-99.967,-2.508,LINKUSDT,200,2.0,48,vol_norm
,643,51.63,-0.3479,-95.836,2003.87,-96.595,-1.245,LINKUSDT,200,2.5,12,classical
,643,51.63,-0.5105,-98.252,2003.87,-98.597,-2.072,LINKUSDT,200,2.5,12,vol_norm
,423,49.65,-0.6126,-97.871,2003.87,-98.228,-1.655,LINKUSDT,200,2.5,24,classical
,423,49.65,-0.9571,-99.31,2003.87,-99.444,-2.917,LINKUSDT,200,2.5,24,vol_norm
,325,44.31,-1.051,-99.026,2003.87,-99.246,-2.436,LINKUSDT,200,2.5,48,classical
,325,44.31,-1.5727,-99.823,2003.87,-99.861,-3.679,LINKUSDT,200,2.5,48,vol_norm
,290,50.0,-0.2262,-66.836,2003.87,-82.979,-0.787,LINKUSDT,200,3.0,12,classical
,290,50.0,-0.4698,-82.583,2003.87,-89.316,-1.807,LINKUSDT,200,3.0,12,vol_norm
,210,52.86,-0.19,-63.316,2003.87,-84.907,-0.511,LINKUSDT,200,3.0,24,classical
,210,52.86,-0.6787,-86.427,2003.87,-92.956,-1.887,LINKUSDT,200,3.0,24,vol_norm
,187,47.06,-1.1959,-94.55,2003.87,-97.151,-2.887,LINKUSDT,200,3.0,48,classical
,187,47.06,-1.628,-98.491,2003.87,-99.226,-3.415,LINKUSDT,200,3.0,48,vol_norm
