symbol,bucket,n,mean_surprisal,mean_fwd_ret_pct,abs_fwd_ret_pct,mean_fwd_vol,fwd_long_winrate
BTCUSDT,p0_20,332,0.0009513967353601642,0.3242663723048707,1.5019553172922315,0.0036710616027252614,55.42168674698795
BTCUSDT,p20_40,331,0.00200603196462138,0.18589484496282302,1.448335822120335,0.0038330091734707404,54.68277945619335
BTCUSDT,p40_60,331,0.0031345335680856355,0.23380192368739633,1.5068110370940713,0.003838201504070996,54.0785498489426
BTCUSDT,p60_80,331,0.004808823021657743,0.25445313850968987,1.5144974826077622,0.0038555708423106093,55.89123867069487
BTCUSDT,p80_100,331,0.011638924237509509,0.1567627930209598,1.3531452635896644,0.003884776606037152,54.98489425981873
ETHUSDT,p0_20,332,0.0009354507590132816,0.1269949368543696,1.9619990374299707,0.004735917183801663,53.6144578313253
ETHUSDT,p20_40,331,0.0020618811295455,0.0995334061911576,2.137849002627854,0.004991984858646102,51.963746223564954
ETHUSDT,p40_60,331,0.0033568119028093593,0.25566659521990187,1.9506411285538163,0.004887353329556309,55.89123867069487
ETHUSDT,p60_80,331,0.005392118355715112,0.37827553571423866,2.0417832137516525,0.00494432871869325,56.19335347432024
ETHUSDT,p80_100,331,0.01503707476669298,0.17627547871085705,1.9400801161048131,0.005143575506911452,47.43202416918429
LINKUSDT,p0_20,332,0.0011401757514556583,0.15409540835173277,1.9163086122402275,0.004992301621571384,52.108433734939766
LINKUSDT,p20_40,331,0.0023011283261780246,0.09788799134421856,2.0934463379493735,0.005181267073858954,52.87009063444109
LINKUSDT,p40_60,331,0.003583183822298023,0.37003755625996543,2.2303711079487942,0.005191735580129985,55.2870090634441
LINKUSDT,p60_80,331,0.005678637990069624,0.19390810300641606,2.1871196204386267,0.0052507483724846616,52.567975830815705
LINKUSDT,p80_100,331,0.015076870582660159,0.4408401861461945,2.302274074583953,0.005568856703467932,56.19335347432024
